Date;Time;Flagging;'U12_[V]';'U23_[V]';'U31_[V]';'IL1_[A]';'IL2_[A]';'IL3_[A]';'I_Neutral_[A]';'IL1_max_[A]';'IL2_max_[A]';'IL3_max_[A]';'I_Neutral_max_[A]';'IL1_min_[A]';'IL2_min_[A]';'IL3_min_[A]';'I_Neutral_min_[A]';'Pst_U12';'Pst_U23';'Pst_U31';'Plt_U12';'Plt_U23';'Plt_U31';'Unbalance_-_Voltage_(_Neg./Pos.)_[%]';'Unbalance_-_Current_(_Neg./Pos.)_[%]';'F_[Hz]';'P_total_min_[W]';'P_total_[W]';'P_total_[W]'_abs;'P_total_max_[W]';'S_total_min__[VA]';'S_total_[VA]';'S_total_max_[VA]';'PF_total';'PF_total'_abs;'cos(phi)';'tan(phi)';'QV_total_[Var]';'UL1_[V]';'UL2_[V]';'UL3_[V]';'UL1_max_[V]';'UL2_max_[V]';'UL3_max_[V]';'UL1_min_[V]';'UL2_min_[V]';'UL3_min_[V]';'Pst_UL1';'Pst_UL2';'Pst_UL3'
11.08.2021;15:00:00; ;419,824341;420,817688;420,613159;22,954252;15,744235;9,002081;4,078394;33,956459;32,236576;18,051388;14,013943;11,631031;2,753564;3,907693;1,357168;0,727654;0,786816;0,750374; ; ; ;0,143282;94,685387;49,997211;-13889,44336;-3223,335449;3223,335449;6210,940918;4430,386719;8264,119141;16982,98633;-0,39004;0,39004;-0,454774;-1,958348;6271,077148;242,509399;242,588455;243,090271;243,652115;244,717926;245,913651;230,360413;228,697754;230,474899;0,714918;0,766477;0,786124
11.08.2021;15:10:00; ;420,266235;420,737488;420,453247;21,832008;11,465123;12,251262;4,606613;61,20129;47,04108;50,638763;14,319494;14,101382;3,484798;4,100527;1,559386;0,203506;0,211431;0,218304; ; ; ;0,064846;106,965927;50,000206;-9724,567383;1882,984497;1882,984497;15131,71387;4121,327148;6770,155762;17412,61523;0,27813;0,27813;0,330832;2,852478;5425,516602;242,774612;242,513138;243,01683;244,381088;244,668716;245,803543;240,534515;240,080276;239,8862;0,199257;0,210416;0,233357
11.08.2021;15:20:00; ;419,519592;419,888123;419,871674;24,447933;20,618759;8,74696;4,690071;41,521904;38,248363;21,335457;14,268768;13,640072;3,344279;4,106584;1,487464;0,726727;0,778414;0,752297; ; ; ;0,056181;94,305893;49,992367;-13881,69238;-2777,474365;2777,474365;10064,42578;4647,867676;8861,53418;18803,53516;-0,31343;0,31343;-0,361445;-2,579628;7099,154297;242,325317;241,950836;242,771698;243,88443;243,7202;244,573227;229,885727;228,855225;229,442841;0,714515;0,752772;0,778284
11.08.2021;15:30:00; ;419,901672;420,291687;420,93158;18,519646;8,405368;11,283672;3,062828;29,765434;27,388441;26,914047;12,930686;11,015201;3,10684;4,32065;1,268362;0,196049;0,178738;0,233689; ; ; ;0,141543;150,636978;49,993351;-7945,912109;1892,820557;1892,820557;9621,224609;3455,74707;5193,096191;11264,49414;0,364488;0,364488;0,504377;1,711981;3276,452393;242,671799;242,204269;243,235458;244,508133;244,483261;245,537979;239,554443;240,133972;240,903931;0,242768;0,178513;0,192998
11.08.2021;15:40:00; ;420,476227;420,39035;421,415344;24,918459;10,809175;12,799989;3,487434;52,780991;45,107754;43,740704;13,831726;11,475707;3,528565;3,48376;0,951951;0,191394;0,194727;0,195357; ; ; ;0,155409;62,067051;49,986904;463,195251;8478,547852;8478,547852;15836,12598;4275,719238;9739,428711;16784,79883;0,870539;0,870539;0,925735;0,408511;3471,006836;243,053268;242,363983;243,362305;244,555527;243,690765;244,619232;241,847824;240,863434;242,151855;0,18975;0,193837;0,197755
11.08.2021;15:50:00; ;419,601166;419,523376;420,471069;23,398573;8,973125;19,099543;4,012023;40,101768;18,177582;44,758869;13,926897;10,71835;3,749439;5,392854;1,00954;0,742232;0,748423;0,735414; ; ; ;0,144354;55,050129;49,991371;3394,033691;9707,515625;9707,515625;19867,41406;4940,675293;10572,16504;20207,08203;0,918215;0,918215;0,963523;0,277758;2701,209473;242,549744;241,891571;242,787552;243,849808;243,236267;243,859177;228,478928;227,01593;229,562088;0,722845;0,761871;0,748257
11.08.2021;16:00:00; ;420,57785;420,414276;420,695801;24,531561;12,393271;23,402334;4,832689;39,423656;26,36611;49,424068;14,60768;17,263168;4,730144;9,447838;1,115116;0,185106;0,189966;0,193716;0,625952;0,65213;0,640823;0,038459;52,078808;50,000996;7304,533203;12141,8457;12141,8457;23137,13672;8452,783203;12788,66602;23458,08594;0,949422;0,949422;0,977885;0,213871;2600,087646;242,925812;242,417435;243,093903;244,957657;244,688034;245,11615;241,81839;240,902069;241,875351;0,186047;0,18849;0,194084
11.08.2021;16:10:00; ;421,388824;421,723358;421,735779;22,839401;11,805018;23,645283;4,343889;33,481022;23,316351;47,40633;13,147837;12,666297;3,468999;5,38863;1,21313;0,220137;0,213186;0,230968; ; ; ;0,052882;144,934921;50,019352;-7600,236328;4836,887207;4836,887207;14810,05566;5357,612793;7752,004395;15344,14844;0,623953;0,623953;0,722445;0,957067;4645,653809;243,526703;242,908432;243,827652;245,409546;244,837219;246,004822;240,234558;239,155991;240,061249;0,229972;0,211165;0,218061
11.08.2021;16:20:00; ;417,908997;417,827271;418,357697;28,533287;17,266655;24,956745;4,729539;50,284485;27,848461;52,255455;11,869193;10,664631;4,107624;4,783282;1,352916;0,191831;0,190265;0,203738; ; ; ;0,077552;47,612236;49,998539;-7468,732422;12295,23633;12295,23633;24381,99414;5172,523438;12993,53613;24566,375;0,946258;0,946258;0,980738;0,199167;2452,091309;241,529022;240,850586;241,673203;243,39798;242,957718;243,718704;240,312531;239,743973;240,692352;0,189698;0,194098;0,203889
11.08.2021;16:30:00; ;418,146393;417,825348;417,963715;19,574022;8,666235;19,125875;5,26791;29,797031;27,386467;34,543552;12,607525;11,962698;4,627524;4,358628;1,717519;0,753255;0,760297;0,74154; ; ; ;0,044849;153,744141;49,994022;-4627,030273;2184,115234;2184,115234;9800,243164;4883,882813;6086,603516;11258,58496;0,35884;0,35884;0,464041;1,908914;4203,241211;241,551498;240,8992;241,511627;243,05014;242,522598;243,035248;227,321411;225,473083;227,614548;0,734486;0,773327;0,747741
