Date;Time;Flagging;'U12_[V]';'IL2_[A]';'IL3_[A]';'Plt_U12';'Plt_U23';'Plt_U31';'Pst_UL1';'Pst_UL2';'Pst_UL3'
12.08.2021;14:00:00; ;413,729462;16,819054;16,824184;0,696508;0,716587;0,700678;0,681183;0,718235;0,713382
12.08.2021;14:10:00; ;414,932007;26,689028;9,381126; ; ; ;0,674959;0,721239;0,696458
12.08.2021;14:20:00; ;415,305359;22,443871;10,098652; ; ; ;0,682937;0,714547;0,714793
12.08.2021;14:30:00; ;415,196899;23,48073;11,5495; ; ; ;0,713567;0,690442;0,727642
12.08.2021;14:40:00; ;416,487122;26,224081;9,305283; ; ; ;0,184479;0,267923;0,189022
12.08.2021;14:50:00; ;416,537628;26,419849;9,952764; ; ; ;0,695409;0,763631;0,757569
12.08.2021;15:00:00; ;417,218048;19,75909;11,652049; ; ; ;0,693797;0,74455;0,738329
12.08.2021;15:10:00; ;420,038025;18,869925;10,598957; ; ; ;0,159442;0,163711;0,161892
12.08.2021;15:20:00; ;418,81424;26,826591;9,416794; ; ; ;0,703174;0,743553;0,76711
12.08.2021;15:30:00; ;418,792236;18,61887;9,631834; ; ; ;0,196089;0,202093;0,194854
12.08.2021;15:40:00; ;419,152527;19,074053;9,314833; ; ; ;0,710366;0,749083;0,768318
12.08.2021;15:50:00; ;419,276886;19,135418;10,258055; ; ; ;0,206564;0,219672;0,212258
12.08.2021;16:00:00; ;419,71405;18,356663;12,877536;0,619109;0,649863;0,630348;0,213347;0,228232;0,223243
12.08.2021;16:10:00; ;419,21283;19,845339;14,535603; ; ; ;0,709954;0,754712;0,774497
12.08.2021;16:20:00; ;418,953491;12,356633;22,391937; ; ; ;0,150754;0,159752;0,158049
12.08.2021;16:30:00; ;419,172241;10,273637;30,554199; ; ; ;0,188273;0,19827;0,193686
12.08.2021;16:40:00; ;418,836517;10,935047;21,412336; ; ; ;0,201581;0,220191;0,238039
12.08.2021;16:50:00; ;419,956879;7,855014;11,199046; ; ; ;0,732711;0,773707;0,774341
12.08.2021;17:00:00; ;417,994965;10,791537;14,286; ; ; ;0,205454;0,216619;0,199189
12.08.2021;17:10:00; ;419,570496;7,957131;16,102695; ; ; ;0,13949;0,148748;0,150195
12.08.2021;17:20:00; ;419,721649;8,447109;22,286087; ; ; ;0,729812;0,78247;0,763789
12.08.2021;17:30:00; ;419,724335;8,291571;12,605042; ; ; ;0,099165;0,102061;0,105904
12.08.2021;17:40:00; ;419,9216;20,968845;19,969339; ; ; ;0,121215;0,126204;0,138638
12.08.2021;17:50:00; ;420,332794;9,561361;19,192837; ; ; ;0,094001;0,108161;0,106359
12.08.2021;18:00:00; ;420,541931;5,995909;22,625639;0,473106;0,499007;0,476702;0,132946;0,1417;0,144286
12.08.2021;18:10:00; ;420,67807;7,553258;23,217424; ; ; ;0,216795;0,216105;0,216037
12.08.2021;18:20:00; ;419,736023;17,653736;25,831656; ; ; ;0,086043;0,096956;0,10623
12.08.2021;18:30:00; ;419,794525;15,234878;22,339182; ; ; ;0,109353;0,109614;0,103879
12.08.2021;18:40:00; ;419,515961;21,005198;26,009569; ; ; ;0,090997;0,101196;0,091274
12.08.2021;18:50:00; ;418,930359;15,084465;23,216558; ; ; ;0,089875;0,10453;0,096813
12.08.2021;19:00:00; ;418,608063;14,413549;22,611349; ; ; ;0,095388;0,09982;0,110824
12.08.2021;19:10:00; ;418,413391;20,430103;26,346609; ; ; ;0,070119;0,097137;0,077535
12.08.2021;19:20:00; ;418,382538;25,237352;36,378983; ; ; ;0,111898;0,115582;0,105235
12.08.2021;19:30:00; ;418,414886;22,413877;31,854568; ; ; ;0,092734;0,094035;0,098173
12.08.2021;19:40:00; ;418,509277;23,078447;35,245094; ; ; ;0,084926;0,092593;0,089142
12.08.2021;19:50:00; ;418,419281;23,70612;37,746658; ; ; ;0,098876;0,102142;0,101851
12.08.2021;20:00:00; ;418,194336;20,488831;28,345041;0,120845;0,122655;0,121633;0,096421;0,099546;0,101411
12.08.2021;20:10:00; ;418,151215;34,207478;27,510822; ; ; ;0,112338;0,119129;0,112068
12.08.2021;20:20:00; ;418,075073;37,507797;29,304808; ; ; ;0,113285;0,110627;0,121546
12.08.2021;20:30:00; ;418,226227;31,442688;38,947102; ; ; ;0,079735;0,081602;0,094069
12.08.2021;20:40:00; ;417,951935;34,961754;27,978977; ; ; ;0,083642;0,08349;0,09638
12.08.2021;20:50:00; ;417,871033;34,610447;31,787981; ; ; ;0,763603;0,763559;0,813109
12.08.2021;21:00:00; ;418,675537;30,039951;30,34066; ; ; ;0,084382;0,081201;0,093394
12.08.2021;21:10:00; ;419,388702;28,349442;35,014153; ; ; ;0,09356;0,087776;0,106472
12.08.2021;21:20:00; ;420,223785;28,414768;31,725368; ; ; ;0,091784;0,088206;0,10455
12.08.2021;21:30:00; ;420,869873;25,629057;37,584789; ; ; ;0,083299;0,081392;0,078903
12.08.2021;21:40:00; ;419,531433;23,064589;42,967445; ; ; ;0,153964;0,161294;0,156407
12.08.2021;21:50:00; ;418,645691;24,506527;31,432409; ; ; ;0,089503;0,094899;0,09898
12.08.2021;22:00:00; ;419,808289;20,803434;26,901123;0,330421;0,346977;0,357754;0,091113;0,091862;0,092613
12.08.2021;22:10:00; ;414,203766;24,899796;31,369671; ; ; ;0,165427;0,173495;0,147667
12.08.2021;22:20:00; ;414,421967;21,237606;29,50676; ; ; ;0,107563;0,111806;0,108623
12.08.2021;22:30:00; ;413,413361;28,286575;21,615541; ; ; ;0,114325;0,106857;0,119639
12.08.2021;22:40:00; ;413,958527;36,572746;18,045473; ; ; ;0,096409;0,096237;0,091629
12.08.2021;22:50:00; ;414,332001;24,427227;15,973146; ; ; ;0,102667;0,09806;0,105536
12.08.2021;23:00:00; ;414,924713;19,645525;14,390608; ; ; ;0,102954;0,095518;0,118707
12.08.2021;23:10:00; ;413,15155;17,912823;11,657683; ; ; ;0,181036;0,171199;0,201469
12.08.2021;23:20:00; ;413,743866;17,015932;12,919249; ; ; ;0,141997;0,139398;0,141176
12.08.2021;23:30:00; ;414,741394;15,443846;12,363906; ; ; ;0,103231;0,105881;0,1056
12.08.2021;23:40:00; ;415,656586;15,14223;12,450992; ; ; ;0,099929;0,084936;0,092258
12.08.2021;23:50:00; ;416,657318;15,824921;12,168456; ; ; ;0,0929;0,081654;0,085576
13.08.2021;00:00:00; ;416,937592;15,108068;12,372011;0,123203;0,123748;0,122922;0,122088;0,130261;0,120699
13.08.2021;00:10:00; ;416,388611;13,482923;10,526276; ; ; ;0,094064;0,081155;0,088614
13.08.2021;00:20:00; ;416,714172;18,027252;11,806164; ; ; ;0,761743;0,810197;0,802605
13.08.2021;00:30:00; ;416,358765;21,611969;10,692083; ; ; ;0,206537;0,191169;0,20329
13.08.2021;00:40:00; ;414,488983;19,940502;12,290374; ; ; ;0,092061;0,080218;0,088064
13.08.2021;00:50:00; ;415,28302;13,974724;11,722466; ; ; ;0,128708;0,131732;0,126371
13.08.2021;01:00:00; ;415,761719;11,696096;12,251156; ; ; ;0,100845;0,092631;0,096492
13.08.2021;01:10:00; ;415,08078;12,868257;10,532418; ; ; ;0,081986;0,073498;0,076945
13.08.2021;01:20:00; ;415,681671;13,830773;10,570151; ; ; ;0,116172;0,113851;0,118164
13.08.2021;01:30:00; ;416,177277;13,748047;11,419161; ; ; ;0,104327;0,106562;0,100276
13.08.2021;01:40:00; ;416,303772;14,050965;9,548536; ; ; ;0,098087;0,098157;0,100167
13.08.2021;01:50:00;X;416,785553;13,06283;11,824028; ; ; ;0,838995;5,594818;3,337495
13.08.2021;02:00:00;X;414,927673;12,216022;9,95317;1,026568;2,680806;0,424814;0,643642;3,450816;2,069273
13.08.2021;02:10:00; ;412,880981;14,523971;9,682671; ; ; ;0,08511;0,074182;0,078304
13.08.2021;02:20:00; ;413,311615;12,270329;9,748131; ; ; ;0,107809;0,113268;0,110748
13.08.2021;02:30:00; ;413,20755;12,499986;12,807928; ; ; ;0,091535;0,07954;0,081307
13.08.2021;02:40:00; ;413,419617;12,822248;10,375862; ; ; ;0,100715;0,092343;0,09774
13.08.2021;02:50:00; ;413,285004;13,489404;9,130184; ; ; ;0,096933;0,088342;0,102797
13.08.2021;03:00:00; ;413,157806;14,239211;9,420669; ; ; ;0,109903;0,10133;0,101201
13.08.2021;03:10:00; ;413,340454;13,305488;12,526308; ; ; ;0,135182;0,122923;0,134257
13.08.2021;03:20:00; ;413,205627;11,996657;10,718263; ; ; ;0,103909;0,093899;0,101049
13.08.2021;03:30:00; ;413,607971;13,228549;9,613307; ; ; ;0,087164;0,075867;0,080475
13.08.2021;03:40:00;X;413,541046;12,557077;9,084701; ; ; ;0,757368;3,451504;2,069289
13.08.2021;03:50:00; ;413,624481;12,56698;9,115088; ; ; ;0,112933;0,110003;0,113707
13.08.2021;04:00:00;X;412,886139;11,251882;9,445554;0,829789;2,096699;0,303517;0,752835;0,812955;0,792071
13.08.2021;04:10:00; ;412,445862;11,567271;9,37925; ; ; ;0,122863;0,118486;0,111333
13.08.2021;04:20:00; ;411,876831;11,205989;10,773868; ; ; ;0,078168;0,071008;0,070612
13.08.2021;04:30:00; ;412,163727;12,078317;13,676598; ; ; ;0,078237;0,073617;0,070054
13.08.2021;04:40:00; ;411,910889;12,850179;9,217306; ; ; ;0,118091;0,119459;0,115953
13.08.2021;04:50:00; ;412,264587;12,139559;8,744788; ; ; ;0,132744;0,12225;0,126843
13.08.2021;05:00:00; ;412,126434;16,514971;9,365478; ; ; ;0,101482;0,101995;0,099301
13.08.2021;05:10:00; ;412,256958;13,232656;10,21022; ; ; ;0,077297;0,083088;0,101547
13.08.2021;05:20:00; ;412,153931;11,077617;9,592166; ; ; ;0,121709;0,158819;0,111589
13.08.2021;05:30:00; ;411,990662;13,321346;12,177223; ; ; ;0,096378;0,098323;0,095774
13.08.2021;05:40:00;X;411,268738;14,033436;13,012026; ; ; ;4,128279;1,010091;1,144669
13.08.2021;05:50:00; ;410,762268;15,145937;11,313357; ; ; ;0,09765;0,09256;0,098596
13.08.2021;06:00:00;X;409,179749;13,128811;10,308702;1,324049;0,360131;1,396389;0,210209;0,193605;0,213544
13.08.2021;06:10:00; ;411,498108;12,58185;16,111057; ; ; ;0,743907;0,776445;0,777343
13.08.2021;06:20:00; ;413,024628;14,397596;15,084427; ; ; ;0,719335;0,765294;0,765211
13.08.2021;06:30:00; ;411,24173;14,211052;17,561852; ; ; ;0,157964;0,158675;0,161326
13.08.2021;06:40:00; ;411,12674;17,932781;15,096154; ; ; ;0,729247;0,710712;0,762111
13.08.2021;06:50:00; ;410,577637;10,843493;15,41358; ; ; ;0,699517;0,70586;0,763986
13.08.2021;07:00:00; ;412,173401;20,472813;18,817923; ; ; ;0,702593;0,739255;0,733533
13.08.2021;07:10:00; ;413,657288;22,647038;20,576509; ; ; ;0,684476;0,715499;0,753576
13.08.2021;07:20:00; ;412,737396;20,433924;22,156023; ; ; ;0,696041;0,714571;0,758378
