Date;Time;Flagging;'U12_[V]';'U23_[V]';'U31_[V]';'U12_max_[V]';'U23_max_[V]';'U31_max_[V]';'U12_min_[V]';'U23_min_[V]';'U31_min_[V]';'IL1_[A]';'IL2_[A]';'IL3_[A]';'I_Neutral_[A]';'IL1_max_[A]';'IL2_max_[A]';'IL3_max_[A]';'I_Neutral_max_[A]';'IL1_min_[A]';'IL2_min_[A]';'IL3_min_[A]';'I_Neutral_min_[A]';'Pst_U12';'Pst_U23';'Pst_U31';'Plt_U12';'Plt_U23';'Plt_U31';'Unbalance_-_Voltage_(_Neg./Pos.)_[%]';'Unbalance_-_Current_(_Neg./Pos.)_[%]';'F_[Hz]';'P_total_min_[W]';'P_total_[W]';'P_total_[W]'_abs;'P_total_max_[W]';'S_total_min__[VA]';'S_total_[VA]';'S_total_max_[VA]';'PF_total';'PF_total'_abs;'cos(phi)';'tan(phi)';'QV_total_[Var]';'UL1_[V]';'UL2_[V]';'UL3_[V]';'UL1_max_[V]';'UL2_max_[V]';'UL3_max_[V]';'UL1_min_[V]';'UL2_min_[V]';'UL3_min_[V]';'Pst_UL1';'Pst_UL2';'Pst_UL3'
2021/08/11;14:40:00; ;420,361420;421,128235;421,380615;422,679840;423,656586;423,598022;416,346191;415,819550;416,656830;22,561241;19,919550;10,758386;3,685464;43,197392;36,029724;20,432636;14,542692;8,538913;2,851523;3,966892;1,658098;0,222015;0,257838;0,229896; ; ; ;0,144362;68,072441;49,988216;-19723,251953;-5725,730957;5725,730957;9459,144531;3450,436035;8654,805664;22728,253906;-0,661567;0,661567;-0,746700;-0,890801;5079,249023;242,832840;242,870148;243,418289;244,097839;244,462524;244,657227;240,164642;240,696655;240,279800;0,221862;0,243321;0,235991
2021/08/11;14:50:00; ;420,744904;421,243164;421,304993;423,701050;423,516785;423,628113;399,412323;399,667999;397,326172;25,775173;22,181414;10,187520;3,965700;38,392700;34,686069;17,696199;13,714735;15,238567;4,573465;4,712697;2,291445;0,697801;0,747223;0,763898; ; ; ;0,083335;61,501080;49,990723;-17250,078125;-7957,961914;7957,961914;3349,527344;6746,207520;11858,815430;19930,707031;-0,671059;0,671059;-0,733667;-0,926181;7345,464844;243,015244;242,932205;243,417816;244,629593;244,370041;244,737427;231,394409;230,073105;229,302628;0,717403;0,728155;0,784453
2021/08/11;15:00:00; ;419,824341;420,817688;420,613159;421,746063;426,292908;423,363434;396,977570;397,598938;399,727081;22,954252;15,744235;9,002081;4,078394;33,956459;32,236576;18,051388;14,013943;11,631031;2,753564;3,907693;1,357168;0,727654;0,786816;0,750374; ; ; ;0,143282;94,685387;49,997211;-13889,443359;-3223,335449;3223,335449;6210,940918;4430,386719;8264,119141;16982,986328;-0,390040;0,390040;-0,454774;-1,958348;6271,077148;242,509399;242,588455;243,090271;243,652115;244,717926;245,913651;230,360413;228,697754;230,474899;0,714918;0,766477;0,786124
2021/08/11;15:10:00; ;420,266235;420,737488;420,453247;423,149689;425,664825;423,688995;416,246399;415,556854;416,321381;21,832008;11,465123;12,251262;4,606613;61,201290;47,041080;50,638763;14,319494;14,101382;3,484798;4,100527;1,559386;0,203506;0,211431;0,218304; ; ; ;0,064846;106,965927;50,000206;-9724,567383;1882,984497;1882,984497;15131,713867;4121,327148;6770,155762;17412,615234;0,278130;0,278130;0,330832;2,852478;5425,516602;242,774612;242,513138;243,016830;244,381088;244,668716;245,803543;240,534515;240,080276;239,886200;0,199257;0,210416;0,233357
2021/08/11;15:20:00; ;419,519592;419,888123;419,871674;422,303497;422,985992;423,111023;397,031372;397,669769;398,679382;24,447933;20,618759;8,746960;4,690071;41,521904;38,248363;21,335457;14,268768;13,640072;3,344279;4,106584;1,487464;0,726727;0,778414;0,752297; ; ; ;0,056181;94,305893;49,992367;-13881,692383;-2777,474365;2777,474365;10064,425781;4647,867676;8861,534180;18803,535156;-0,313430;0,313430;-0,361445;-2,579628;7099,154297;242,325317;241,950836;242,771698;243,884430;243,720200;244,573227;229,885727;228,855225;229,442841;0,714515;0,752772;0,778284
2021/08/11;15:30:00; ;419,901672;420,291687;420,931580;423,564178;424,444519;424,235046;415,508728;417,202118;415,414093;18,519646;8,405368;11,283672;3,062828;29,765434;27,388441;26,914047;12,930686;11,015201;3,106840;4,320650;1,268362;0,196049;0,178738;0,233689; ; ; ;0,141543;150,636978;49,993351;-7945,912109;1892,820557;1892,820557;9621,224609;3455,747070;5193,096191;11264,494141;0,364488;0,364488;0,504377;1,711981;3276,452393;242,671799;242,204269;243,235458;244,508133;244,483261;245,537979;239,554443;240,133972;240,903931;0,242768;0,178513;0,192998
2021/08/11;15:40:00; ;420,476227;420,390350;421,415344;423,214264;422,582550;423,688629;417,924591;418,270020;419,304474;24,918459;10,809175;12,799989;3,487434;52,780991;45,107754;43,740704;13,831726;11,475707;3,528565;3,483760;0,951951;0,191394;0,194727;0,195357; ; ; ;0,155409;62,067051;49,986904;463,195251;8478,547852;8478,547852;15836,125977;4275,719238;9739,428711;16784,798828;0,870539;0,870539;0,925735;0,408511;3471,006836;243,053268;242,363983;243,362305;244,555527;243,690765;244,619232;241,847824;240,863434;242,151855;0,189750;0,193837;0,197755
2021/08/11;15:50:00; ;419,601166;419,523376;420,471069;421,871948;421,678101;422,257111;393,818695;395,082336;397,651520;23,398573;8,973125;19,099543;4,012023;40,101768;18,177582;44,758869;13,926897;10,718350;3,749439;5,392854;1,009540;0,742232;0,748423;0,735414; ; ; ;0,144354;55,050129;49,991371;3394,033691;9707,515625;9707,515625;19867,414063;4940,675293;10572,165039;20207,082031;0,918215;0,918215;0,963523;0,277758;2701,209473;242,549744;241,891571;242,787552;243,849808;243,236267;243,859177;228,478928;227,015930;229,562088;0,722845;0,761871;0,748257
2021/08/11;16:00:00; ;420,577850;420,414276;420,695801;424,327057;424,457062;423,857574;418,427551;417,899017;418,868103;24,531561;12,393271;23,402334;4,832689;39,423656;26,366110;49,424068;14,607680;17,263168;4,730144;9,447838;1,115116;0,185106;0,189966;0,193716;0,625952;0,652130;0,640823;0,038459;52,078808;50,000996;7304,533203;12141,845703;12141,845703;23137,136719;8452,783203;12788,666016;23458,085938;0,949422;0,949422;0,977885;0,213871;2600,087646;242,925812;242,417435;243,093903;244,957657;244,688034;245,116150;241,818390;240,902069;241,875351;0,186047;0,188490;0,194084
2021/08/11;16:10:00; ;421,388824;421,723358;421,735779;424,736725;425,197540;425,315002;415,594055;415,202972;415,316925;22,839401;11,805018;23,645283;4,343889;33,481022;23,316351;47,406330;13,147837;12,666297;3,468999;5,388630;1,213130;0,220137;0,213186;0,230968; ; ; ;0,052882;144,934921;50,019352;-7600,236328;4836,887207;4836,887207;14810,055664;5357,612793;7752,004395;15344,148438;0,623953;0,623953;0,722445;0,957067;4645,653809;243,526703;242,908432;243,827652;245,409546;244,837219;246,004822;240,234558;239,155991;240,061249;0,229972;0,211165;0,218061
